Date,Hour,Temperature
2020-09-15,00,302.74
2020-09-15,01,301.8
2020-09-15,02,300.95
2020-09-15,03,300.09
2020-09-15,04,299.34
2020-09-15,05,298.77
2020-09-15,06,298.19
2020-09-15,07,297.73
2020-09-15,08,297.01
2020-09-15,09,296.66
2020-09-15,10,296.44
2020-09-15,11,296.02
2020-09-15,12,295.84
2020-09-15,13,296.02
2020-09-15,14,297.33
2020-09-15,15,298.3
2020-09-15,16,299.8
2020-09-15,17,301.85
2020-09-15,18,303.47
2020-09-15,19,304.1
2020-09-15,20,304.88
2020-09-15,21,304.06
2020-09-15,22,303.7
2020-09-15,23,302.58
2020-09-14,00,303.67
2020-09-14,01,302.36
2020-09-14,02,301.35
2020-09-14,03,300.47
2020-09-14,04,299.79
2020-09-14,05,299.38
2020-09-14,06,299
2020-09-14,07,298.42
2020-09-14,08,297.54
2020-09-14,09,297.01
2020-09-14,10,296.49
2020-09-14,11,295.99
2020-09-14,12,295.4
2020-09-14,13,295.44
2020-09-14,14,296.83
2020-09-14,15,298.51
2020-09-14,16,300.17
2020-09-14,17,302.32
2020-09-14,18,302.83
2020-09-14,19,303.56
2020-09-14,20,304.1
2020-09-14,21,304.26
2020-09-14,22,304.2
2020-09-14,23,303.56
2020-09-13,00,303.18
2020-09-13,01,301.71
2020-09-13,02,300.36
2020-09-13,03,299.52
2020-09-13,04,298.76
2020-09-13,05,297.58
2020-09-13,06,297.33
2020-09-13,07,296.95
2020-09-13,08,296.36
2020-09-13,09,296.2
2020-09-13,10,296.11
2020-09-13,11,295.62
2020-09-13,12,295.64
2020-09-13,13,296.17
2020-09-13,14,298.19
2020-09-13,15,300.36
2020-09-13,16,302.28
2020-09-13,17,303.81
2020-09-13,18,304.37
2020-09-13,19,305.08
2020-09-13,20,305.51
2020-09-13,21,305.77
2020-09-13,22,305.44
2020-09-13,23,304.91
2020-09-12,00,299.38
2020-09-12,01,298
2020-09-12,02,296.64
2020-09-12,03,295.84
2020-09-12,04,295.1
2020-09-12,05,294.43
2020-09-12,06,294.02
2020-09-12,07,293.62
2020-09-12,08,293.25
2020-09-12,09,293.21
2020-09-12,10,292.95
2020-09-12,11,292.45
2020-09-12,12,292.34
2020-09-12,13,292.9
2020-09-12,14,295.32
2020-09-12,15,298.26
2020-09-12,16,300.56
2020-09-12,17,302.59
2020-09-12,18,303.49
2020-09-12,19,304.04
2020-09-12,20,304.67
2020-09-12,21,304.88
2020-09-12,22,304.83
2020-09-12,23,304.37
2020-09-11,00,291.88
2020-09-11,01,291.08
2020-09-11,02,290.63
2020-09-11,03,290.5
2020-09-11,04,290.41
2020-09-11,05,290.2
2020-09-11,06,289.89
2020-09-11,07,289.66
2020-09-11,08,289.58
2020-09-11,09,289.57
2020-09-11,10,289.27
2020-09-11,11,289.3
2020-09-11,12,289.33
2020-09-11,13,289.48
2020-09-11,14,290
2020-09-11,15,290.74
2020-09-11,16,291.94
2020-09-11,17,294.59
2020-09-11,18,297.1
2020-09-11,19,298.94
2020-09-11,20,300.57
2020-09-11,21,301.2
2020-09-11,22,301.22
2020-09-11,23,300.29
