Date,Hour,Temperature,Dewpoint
2020-09-15,00,302.74,292.45
2020-09-15,01,301.8,289.72
2020-09-15,02,300.95,289.89
2020-09-15,03,300.09,291.13
2020-09-15,04,299.34,293.2
2020-09-15,05,298.77,290.69
2020-09-15,06,298.19,294.09
2020-09-15,07,297.73,290.72
2020-09-15,08,297.01,293.95
2020-09-15,09,296.66,294.56
2020-09-15,10,296.44,294.34
2020-09-15,11,296.02,292.98
2020-09-15,12,295.84,291.81
2020-09-15,13,296.02,291.98
2020-09-15,14,297.33,295.22
2020-09-15,15,298.3,293.34
2020-09-15,16,299.8,292.68
2020-09-15,17,301.85,295.84
2020-09-15,18,303.47,292.52
2020-09-15,19,304.1,292.14
2020-09-15,20,304.88,291.84
2020-09-15,21,304.06,293.97
2020-09-15,22,303.7,293.64
2020-09-15,23,302.58,292.6
2020-09-14,00,303.67,290.74
2020-09-14,01,302.36,293.25
2020-09-14,02,301.35,292.31
2020-09-14,03,300.47,293.31
2020-09-14,04,299.79,292.67
2020-09-14,05,299.38,293.24
2020-09-14,06,299,292.88
2020-09-14,07,298.42,294.31
2020-09-14,08,297.54,294.47
2020-09-14,09,297.01,292.94
2020-09-14,10,296.49,292.44
2020-09-14,11,295.99,291.95
2020-09-14,12,295.4,293.32
2020-09-14,13,295.44,292.41
2020-09-14,14,296.83,292.77
2020-09-14,15,298.51,293.54
2020-09-14,16,300.17,294
2020-09-14,17,302.32,294.29
2020-09-14,18,302.83,291.93
2020-09-14,19,303.56,291.65
2020-09-14,20,304.1,292.14
2020-09-14,21,304.26,293.24
2020-09-14,22,304.2,291.22
2020-09-14,23,303.56,291.65
2020-09-13,00,303.18,292.25
2020-09-13,01,301.71,291.79
2020-09-13,02,300.36,291.38
2020-09-13,03,299.52,291.4
2020-09-13,04,298.76,291.69
2020-09-13,05,297.58,292.65
2020-09-13,06,297.33,292.4
2020-09-13,07,296.95,294.84
2020-09-13,08,296.36,293.31
2020-09-13,09,296.2,293.16
2020-09-13,10,296.11,293.07
2020-09-13,11,295.62,292.59
2020-09-13,12,295.64,292.61
2020-09-13,13,296.17,294.07
2020-09-13,14,298.19,294.09
2020-09-13,15,300.36,294.18
2020-09-13,16,302.28,293.17
2020-09-13,17,303.81,292.83
2020-09-13,18,304.37,294.26
2020-09-13,19,305.08,293.04
2020-09-13,20,305.51,293.43
2020-09-13,21,305.77,291.93
2020-09-13,22,305.44,292.35
2020-09-13,23,304.91,291.87
2020-09-12,00,299.38,293.24
2020-09-12,01,298,291.93
2020-09-12,02,296.64,290.63
2020-09-12,03,295.84,290.75
2020-09-12,04,295.1,292.08
2020-09-12,05,294.43,292.36
2020-09-12,06,294.02,291.96
2020-09-12,07,293.62,292.62
2020-09-12,08,293.25,292.25
2020-09-12,09,293.21,291.16
2020-09-12,10,292.95,291.96
2020-09-12,11,292.45,291.46
2020-09-12,12,292.34,291.35
2020-09-12,13,292.9,290.86
2020-09-12,14,295.32,291.3
2020-09-12,15,298.26,293.3
2020-09-12,16,300.56,292.64
2020-09-12,17,302.59,295.57
2020-09-12,18,303.49,292.54
2020-09-12,19,304.04,293.04
2020-09-12,20,304.67,292.66
2020-09-12,21,304.88,291.84
2020-09-12,22,304.83,292.81
2020-09-12,23,304.37,291.38
2020-09-11,00,291.88,287.77
2020-09-11,01,291.08,287.97
2020-09-11,02,290.63,287.53
2020-09-11,03,290.5,288.49
2020-09-11,04,290.41,288.41
2020-09-11,05,290.2,288.2
2020-09-11,06,289.89,287.89
2020-09-11,07,289.66,288.52
2020-09-11,08,289.58,288.45
2020-09-11,09,289.57,288.44
2020-09-11,10,289.27,288.14
2020-09-11,11,289.3,288.17
2020-09-11,12,289.33,288.2
2020-09-11,13,289.48,286.4
2020-09-11,14,290,286.91
2020-09-11,15,290.74,289.08
2020-09-11,16,291.94,289.55
2020-09-11,17,294.59,288.67
2020-09-11,18,297.1,290.12
2020-09-11,19,298.94,289.78
2020-09-11,20,300.57,290.44
2020-09-11,21,301.2,293.24
2020-09-11,22,301.22,292.19
2020-09-11,23,300.29,292.12
