Date,Hour,Temperature
2020-09-15,00,290.54
2020-09-15,01,289.27
2020-09-15,02,287.67
2020-09-15,03,286.53
2020-09-15,04,285.72
2020-09-15,05,284.85
2020-09-15,06,284.36
2020-09-15,07,283.64
2020-09-15,08,282.89
2020-09-15,09,282.52
2020-09-15,10,282.13
2020-09-15,11,281.67
2020-09-15,12,282.6
2020-09-15,13,284.62
2020-09-15,14,286.96
2020-09-15,15,288.48
2020-09-15,16,289.43
2020-09-15,17,290.39
2020-09-15,18,290.73
2020-09-15,19,290.95
2020-09-15,20,290.92
2020-09-15,21,290.61
2020-09-15,22,289.86
2020-09-15,23,288.13
2020-09-14,00,293.17
2020-09-14,01,292.55
2020-09-14,02,292.26
2020-09-14,03,292.2
2020-09-14,04,292.21
2020-09-14,05,292.25
2020-09-14,06,292.2
2020-09-14,07,292.18
2020-09-14,08,292.3
2020-09-14,09,292.4
2020-09-14,10,292.3
2020-09-14,11,292.28
2020-09-14,12,292.57
2020-09-14,13,293.53
2020-09-14,14,294.44
2020-09-14,15,295.1
2020-09-14,16,295.79
2020-09-14,17,296.33
2020-09-14,18,296.83
2020-09-14,19,297.22
2020-09-14,20,296.9
2020-09-14,21,296.02
2020-09-14,22,294.61
2020-09-14,23,292.11
2020-09-13,00,288.1
2020-09-13,01,287.35
2020-09-13,02,286.7
2020-09-13,03,286.06
2020-09-13,04,285.14
2020-09-13,05,285.07
2020-09-13,06,283.59
2020-09-13,07,283.79
2020-09-13,08,283.62
2020-09-13,09,283.95
2020-09-13,10,283.88
2020-09-13,11,284.09
2020-09-13,12,286.32
2020-09-13,13,289.11
2020-09-13,14,291.4
2020-09-13,15,292.88
2020-09-13,16,293.86
2020-09-13,17,295.1
2020-09-13,18,295.95
2020-09-13,19,296.87
2020-09-13,20,297.04
2020-09-13,21,296.37
2020-09-13,22,295.57
2020-09-13,23,294.19
2020-09-12,00,288.58
2020-09-12,01,287.82
2020-09-12,02,287.02
2020-09-12,03,286.69
2020-09-12,04,286.06
2020-09-12,05,285.78
2020-09-12,06,285.82
2020-09-12,07,285.47
2020-09-12,08,284.83
2020-09-12,09,284.38
2020-09-12,10,284.14
2020-09-12,11,283.85
2020-09-12,12,285.26
2020-09-12,13,288
2020-09-12,14,291.01
2020-09-12,15,291.91
2020-09-12,16,292.35
2020-09-12,17,292.87
2020-09-12,18,293.03
2020-09-12,19,293.06
2020-09-12,20,292.65
2020-09-12,21,291.39
2020-09-12,22,290.57
2020-09-12,23,289.35
2020-09-11,00,296.98
2020-09-11,01,296.67
2020-09-11,02,296.38
2020-09-11,03,296.28
2020-09-11,04,296.17
2020-09-11,05,295.91
2020-09-11,06,295.47
2020-09-11,07,294.98
2020-09-11,08,294
2020-09-11,09,293.07
2020-09-11,10,292.21
2020-09-11,11,291.73
2020-09-11,12,291.33
2020-09-11,13,290.35
2020-09-11,14,289.12
2020-09-11,15,289.13
2020-09-11,16,289.78
2020-09-11,17,290.29
2020-09-11,18,290.52
2020-09-11,19,290.91
2020-09-11,20,291.94
2020-09-11,21,291.83
2020-09-11,22,290.78
2020-09-11,23,289.63
