Date,Hour,Temperature
2020-09-15,00,302.01
2020-09-15,01,300.89
2020-09-15,02,300.3
2020-09-15,03,299.31
2020-09-15,04,298.6
2020-09-15,05,298.08
2020-09-15,06,297.95
2020-09-15,07,297.56
2020-09-15,08,297.29
2020-09-15,09,297.14
2020-09-15,10,297
2020-09-15,11,296.81
2020-09-15,12,296.47
2020-09-15,13,296.4
2020-09-15,14,297.05
2020-09-15,15,298.12
2020-09-15,16,299.69
2020-09-15,17,301.47
2020-09-15,18,302.43
2020-09-15,19,303.14
2020-09-15,20,303.55
2020-09-15,21,303.91
2020-09-15,22,303.99
2020-09-15,23,303.62
2020-09-14,00,301.58
2020-09-14,01,300.19
2020-09-14,02,299.17
2020-09-14,03,298.28
2020-09-14,04,297.34
2020-09-14,05,296.73
2020-09-14,06,296.12
2020-09-14,07,295.75
2020-09-14,08,295.38
2020-09-14,09,295.02
2020-09-14,10,294.39
2020-09-14,11,293.83
2020-09-14,12,293.87
2020-09-14,13,294.29
2020-09-14,14,295.38
2020-09-14,15,297.42
2020-09-14,16,299.17
2020-09-14,17,301.01
2020-09-14,18,302.09
2020-09-14,19,302.96
2020-09-14,20,303.72
2020-09-14,21,304.09
2020-09-14,22,303.89
2020-09-14,23,303.07
2020-09-13,00,301.93
2020-09-13,01,300.38
2020-09-13,02,299.13
2020-09-13,03,298.61
2020-09-13,04,297.91
2020-09-13,05,297.17
2020-09-13,06,296.56
2020-09-13,07,296.19
2020-09-13,08,295.54
2020-09-13,09,295.21
2020-09-13,10,295.05
2020-09-13,11,294.55
2020-09-13,12,294.39
2020-09-13,13,294.95
2020-09-13,14,296.9
2020-09-13,15,298.82
2020-09-13,16,300.17
2020-09-13,17,301.77
2020-09-13,18,302.69
2020-09-13,19,303.33
2020-09-13,20,304.02
2020-09-13,21,304.19
2020-09-13,22,303.82
2020-09-13,23,303.08
2020-09-12,00,298.37
2020-09-12,01,296.89
2020-09-12,02,295.75
2020-09-12,03,294.91
2020-09-12,04,294.6
2020-09-12,05,294.14
2020-09-12,06,294.05
2020-09-12,07,294.15
2020-09-12,08,294.06
2020-09-12,09,293.8
2020-09-12,10,293.63
2020-09-12,11,293.07
2020-09-12,12,292.68
2020-09-12,13,292.99
2020-09-12,14,294.58
2020-09-12,15,296.8
2020-09-12,16,298.46
2020-09-12,17,300.33
2020-09-12,18,301.25
2020-09-12,19,302.19
2020-09-12,20,303.04
2020-09-12,21,303.52
2020-09-12,22,303.41
2020-09-12,23,302.89
2020-09-11,00,293.05
2020-09-11,01,293.07
2020-09-11,02,292.99
2020-09-11,03,293.05
2020-09-11,04,293.1
2020-09-11,05,293.06
2020-09-11,06,292.84
2020-09-11,07,292.63
2020-09-11,08,292.4
2020-09-11,09,291.95
2020-09-11,10,291.63
2020-09-11,11,291.39
2020-09-11,12,290.96
2020-09-11,13,291.04
2020-09-11,14,292.05
2020-09-11,15,293.48
2020-09-11,16,294.5
2020-09-11,17,295.52
2020-09-11,18,295.97
2020-09-11,19,296.81
2020-09-11,20,297.98
2020-09-11,21,298.63
2020-09-11,22,298.83
2020-09-11,23,298.96
