Date,Hour,Temperature
2020-09-15,00,312.23
2020-09-15,01,311.19
2020-09-15,02,309.26
2020-09-15,03,307.19
2020-09-15,04,305.38
2020-09-15,05,304.29
2020-09-15,06,303.2
2020-09-15,07,302.97
2020-09-15,08,302.23
2020-09-15,09,301.9
2020-09-15,10,300.79
2020-09-15,11,300.08
2020-09-15,12,299.83
2020-09-15,13,299.09
2020-09-15,14,299.53
2020-09-15,15,302.12
2020-09-15,16,305.15
2020-09-15,17,307.4
2020-09-15,18,308.82
2020-09-15,19,309.67
2020-09-15,20,310.88
2020-09-15,21,311.43
2020-09-15,22,311.81
2020-09-15,23,312.35
2020-09-14,00,311.34
2020-09-14,01,310.36
2020-09-14,02,308.49
2020-09-14,03,305.93
2020-09-14,04,305.37
2020-09-14,05,304.49
2020-09-14,06,303.47
2020-09-14,07,301.33
2020-09-14,08,301.57
2020-09-14,09,301.23
2020-09-14,10,300.97
2020-09-14,11,300.74
2020-09-14,12,300.08
2020-09-14,13,300.12
2020-09-14,14,300.91
2020-09-14,15,302.83
2020-09-14,16,305.56
2020-09-14,17,308.24
2020-09-14,18,309.86
2020-09-14,19,310.85
2020-09-14,20,311.67
2020-09-14,21,312.2
2020-09-14,22,312.58
2020-09-14,23,312.68
2020-09-13,00,308.48
2020-09-13,01,307.46
2020-09-13,02,305.94
2020-09-13,03,303.96
2020-09-13,04,303.01
2020-09-13,05,301.6
2020-09-13,06,301.71
2020-09-13,07,300.66
2020-09-13,08,299.39
2020-09-13,09,299.04
2020-09-13,10,298.33
2020-09-13,11,298.45
2020-09-13,12,297.97
2020-09-13,13,296.74
2020-09-13,14,297.28
2020-09-13,15,299.44
2020-09-13,16,302.87
2020-09-13,17,305.03
2020-09-13,18,307.34
2020-09-13,19,308.99
2020-09-13,20,310.31
2020-09-13,21,311.33
2020-09-13,22,311.74
2020-09-13,23,311.72
2020-09-12,00,305.98
2020-09-12,01,305.17
2020-09-12,02,304.05
2020-09-12,03,301.94
2020-09-12,04,300.78
2020-09-12,05,299.69
2020-09-12,06,299.21
2020-09-12,07,298.34
2020-09-12,08,297.42
2020-09-12,09,296.94
2020-09-12,10,296.53
2020-09-12,11,295.8
2020-09-12,12,295.74
2020-09-12,13,294.7
2020-09-12,14,294.99
2020-09-12,15,296.75
2020-09-12,16,300.45
2020-09-12,17,303.04
2020-09-12,18,305.51
2020-09-12,19,307.13
2020-09-12,20,308.34
2020-09-12,21,309.11
2020-09-12,22,309.53
2020-09-12,23,309.33
2020-09-11,00,305.47
2020-09-11,01,304.66
2020-09-11,02,303.03
2020-09-11,03,301.48
2020-09-11,04,300.78
2020-09-11,05,299.63
2020-09-11,06,298.38
2020-09-11,07,297.79
2020-09-11,08,297.07
2020-09-11,09,296.91
2020-09-11,10,296.74
2020-09-11,11,295.53
2020-09-11,12,294.74
2020-09-11,13,294.4
2020-09-11,14,295.25
2020-09-11,15,296.14
2020-09-11,16,298.94
2020-09-11,17,301.18
2020-09-11,18,302.77
2020-09-11,19,303.97
2020-09-11,20,304.73
2020-09-11,21,304.86
2020-09-11,22,305.65
2020-09-11,23,306.2
