Date,Hour,Temperature
2020-09-15,00,293.09
2020-09-15,01,293.45
2020-09-15,02,291.79
2020-09-15,03,290.79
2020-09-15,04,290
2020-09-15,05,289.44
2020-09-15,06,288.84
2020-09-15,07,289.07
2020-09-15,08,288.83
2020-09-15,09,288.89
2020-09-15,10,289.01
2020-09-15,11,288.73
2020-09-15,12,288.94
2020-09-15,13,289.16
2020-09-15,14,289.37
2020-09-15,15,289.8
2020-09-15,16,290.59
2020-09-15,17,292.39
2020-09-15,18,293.89
2020-09-15,19,294.53
2020-09-15,20,295.12
2020-09-15,21,296.8
2020-09-15,22,297.31
2020-09-15,23,297.47
2020-09-14,00,291.55
2020-09-14,01,291.46
2020-09-14,02,289.55
2020-09-14,03,288.51
2020-09-14,04,287.84
2020-09-14,05,287.11
2020-09-14,06,287.09
2020-09-14,07,286.82
2020-09-14,08,286.85
2020-09-14,09,286.76
2020-09-14,10,286.68
2020-09-14,11,286.61
2020-09-14,12,286.63
2020-09-14,13,286.76
2020-09-14,14,286.86
2020-09-14,15,286.95
2020-09-14,16,287.76
2020-09-14,17,289.31
2020-09-14,18,290.53
2020-09-14,19,291.97
2020-09-14,20,292.15
2020-09-14,21,293.28
2020-09-14,22,293.61
2020-09-14,23,292.92
2020-09-13,00,289.61
2020-09-13,01,289.61
2020-09-13,02,288.26
2020-09-13,03,287.08
2020-09-13,04,286.32
2020-09-13,05,285.18
2020-09-13,06,285.07
2020-09-13,07,284.73
2020-09-13,08,284.53
2020-09-13,09,284.4
2020-09-13,10,284.36
2020-09-13,11,284.55
2020-09-13,12,284.57
2020-09-13,13,284.28
2020-09-13,14,284.18
2020-09-13,15,284.25
2020-09-13,16,284.9
2020-09-13,17,285.79
2020-09-13,18,287.01
2020-09-13,19,289.11
2020-09-13,20,290.61
2020-09-13,21,290.61
2020-09-13,22,291.61
2020-09-13,23,291.07
2020-09-12,00,297.52
2020-09-12,01,297.64
2020-09-12,02,295.53
2020-09-12,03,292.96
2020-09-12,04,291.7
2020-09-12,05,290.62
2020-09-12,06,289.65
2020-09-12,07,288.8
2020-09-12,08,288.2
2020-09-12,09,287.7
2020-09-12,10,286.89
2020-09-12,11,285.9
2020-09-12,12,285.37
2020-09-12,13,285.1
2020-09-12,14,284.89
2020-09-12,15,285.09
2020-09-12,16,285.31
2020-09-12,17,285.66
2020-09-12,18,285.9
2020-09-12,19,286.93
2020-09-12,20,287.15
2020-09-12,21,288.15
2020-09-12,22,289.15
2020-09-12,23,289.6
2020-09-11,00,303.83
2020-09-11,01,302.55
2020-09-11,02,300.41
2020-09-11,03,297.59
2020-09-11,04,295.21
2020-09-11,05,294.25
2020-09-11,06,292.84
2020-09-11,07,291.82
2020-09-11,08,290.94
2020-09-11,09,290.06
2020-09-11,10,289.26
2020-09-11,11,287.81
2020-09-11,12,287.15
2020-09-11,13,286.58
2020-09-11,14,286.34
2020-09-11,15,286.67
2020-09-11,16,287.65
2020-09-11,17,289.06
2020-09-11,18,291.03
2020-09-11,19,292.82
2020-09-11,20,294.74
2020-09-11,21,296.14
2020-09-11,22,296.99
2020-09-11,23,297.15
